Tid=meas,Lys=meas,Bryter=meas,GyroAngle=meas,PowerA=meas,PowerD=meas,Avstand=calc
start_tidspunkt=1586629887.51736,lys_initial=5
26.97459602355957,5,0,-21,35.68627450980392,35.68627450980392,
27.14124703407288,5,0,-22,45.09803921568627,45.09803921568627,
27.2861590385437,5,0,-21,-45.09803921568627,-45.09803921568627,
27.43607091903687,7,0,-14,-45.09803921568627,-45.09803921568627,
27.5865969657898,5,0,-2,-45.09803921568627,-45.09803921568627,
27.71601891517639,5,0,-17,-45.09803921568627,-45.09803921568627,
27.86416292190552,5,0,-18,-19.21568627450981,-19.21568627450981,
28.00410008430481,5,0,-9,24.70588235294118,24.70588235294118,
28.15098810195923,5,0,2,16.07843137254903,16.07843137254903,
28.30095791816712,5,0,0,13.72549019607843,13.72549019607843,
28.43606209754944,5,0,-25,13.72549019607843,13.72549019607843,
28.56587409973145,5,0,-31,13.72549019607843,13.72549019607843,
28.70814204216003,5,0,-36,13.72549019607843,13.72549019607843,
28.84610795974732,5,0,-35,13.72549019607843,13.72549019607843,
28.97887110710144,5,0,-51,13.72549019607843,13.72549019607843,
29.1260211467743,5,0,-47,13.72549019607843,13.72549019607843,
29.25951409339905,5,0,-32,13.72549019607843,13.72549019607843,
29.39449310302734,5,0,-27,13.72549019607843,13.72549019607843,
29.54664897918701,5,0,-30,13.72549019607843,13.72549019607843,
29.70791697502136,5,0,-34,13.72549019607843,13.72549019607843,
29.87403106689453,5,0,-32,13.72549019607843,13.72549019607843,
30.03065991401673,5,0,-31,13.72549019607843,13.72549019607843,
30.17308807373047,5,0,-35,13.72549019607843,13.72549019607843,
