Avstand=calc,Lys=meas,Bryter=meas,PowerD=meas,GyroAngle=meas,Tid=meas,PowerA=meas
start_tidspunkt=1586629887.51736,lys_initial=5
,5,0,89.01960784313724,-20,25.21305704116822,89.01960784313724
,5,0,-64.70588235294118,-20,25.34739995002747,-64.70588235294118
,5,0,12.15686274509804,-20,25.49472308158875,12.15686274509804
,5,0,24.70588235294118,-18,25.66297507286072,24.70588235294118
,5,0,-35.68627450980392,-19,25.80355191230774,-35.68627450980392
,5,0,12.15686274509804,-20,25.96276712417603,12.15686274509804
,5,0,34.11764705882351,-21,26.10950803756714,34.11764705882351
,5,0,-24.70588235294118,-20,26.26204800605774,-24.70588235294118
,5,1,-13.72549019607843,-20,26.39923810958862,-13.72549019607843
,5,0,-0.3921568627450966,-19,26.54339194297791,-0.3921568627450966
,5,1,-39.6078431372549,-19,26.68811297416687,-39.6078431372549
,5,0,-52.15686274509804,-19,26.83060193061829,-52.15686274509804
,5,0,35.68627450980392,-21,26.97459602355957,35.68627450980392
,5,0,45.09803921568627,-22,27.14124703407288,45.09803921568627
,5,0,-45.09803921568627,-21,27.2861590385437,-45.09803921568627
,7,0,-45.09803921568627,-14,27.43607091903687,-45.09803921568627
,5,0,-45.09803921568627,-2,27.5865969657898,-45.09803921568627
,5,0,-45.09803921568627,-17,27.71601891517639,-45.09803921568627
,5,0,-19.21568627450981,-18,27.86416292190552,-19.21568627450981
,5,0,24.70588235294118,-9,28.00410008430481,24.70588235294118
,5,0,16.07843137254903,2,28.15098810195923,16.07843137254903
,5,0,13.72549019607843,0,28.30095791816712,13.72549019607843
,5,0,13.72549019607843,-25,28.43606209754944,13.72549019607843
,5,0,13.72549019607843,-31,28.56587409973145,13.72549019607843
,5,0,13.72549019607843,-36,28.70814204216003,13.72549019607843
,5,0,13.72549019607843,-35,28.84610795974732,13.72549019607843
,5,0,13.72549019607843,-51,28.97887110710144,13.72549019607843
,5,0,13.72549019607843,-47,29.1260211467743,13.72549019607843
,5,0,13.72549019607843,-32,29.25951409339905,13.72549019607843
,5,0,13.72549019607843,-27,29.39449310302734,13.72549019607843
,5,0,13.72549019607843,-30,29.54664897918701,13.72549019607843
,5,0,13.72549019607843,-34,29.70791697502136,13.72549019607843
,5,0,13.72549019607843,-32,29.87403106689453,13.72549019607843
,5,0,13.72549019607843,-31,30.03065991401673,13.72549019607843
,5,0,13.72549019607843,-35,30.17308807373047,13.72549019607843
